Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
24,No,Travel_Rarely,1084,Support,31,5,Medical,1,1,3,Male,66,4,1,Developer,2,Single,48603,583236,2,Y,Yes,15,4,3,80,3,39,3,3,23,6,14,6
22,No,Travel_Frequently,537,Sales,47,5,Life Sciences,1,2,2,Female,32,4,2,Sales Representative,2,Single,19157,249041,2,Y,No,16,1,3,80,1,4,1,2,1,1,1,1
33,Yes,Travel_Rarely,418,Human Resources,45,5,Other,1,3,3,Male,45,1,4,Human Resources,3,Single,42054,1261620,6,Y,No,48,3,1,80,4,21,5,4,4,1,2,2
20,No,Non-Travel,516,Human Resources,9,1,Human Resources,1,4,2,Female,95,2,5,Sales Executive,4,Divorced,28613,114452,5,Y,Yes,37,4,3,80,4,24,1,1,14,6,11,8
48,No,Non-Travel,497,Human Resources,44,1,Human Resources,1,5,3,Male,174,3,5,Healthcare Representative,3,Single,11207,212933,3,Y,No,28,4,2,80,4,15,3,1,6,3,4,2
28,Yes,Travel_Rarely,1311,Support,47,3,Life Sciences,1,6,1,Male,67,3,3,Human Resources,2,Single,40347,806940,6,Y,No,46,4,1,80,1,35,4,2,22,20,13,1
22,No,Travel_Frequently,468,Sales,16,2,Human Resources,1,7,3,Female,69,3,4,Healthcare Representative,4,Married,24683,691124,0,Y,Yes,5,3,3,80,1,28,2,2,2,2,1,1
24,No,Travel_Frequently,360,Research & Development,33,1,Technical Degree,1,8,1,Male,77,4,4,Research Director,4,Married,39380,1142020,4,Y,Yes,15,4,3,80,2,27,6,2,15,10,12,7
29,No,Non-Travel,167,Sales,27,4,Technical Degree,1,9,4,Female,160,2,5,Research Director,2,Divorced,39705,873510,3,Y,No,20,2,2,80,1,20,4,1,20,19,4,1
45,Yes,Travel_Frequently,524,Hardware,15,2,Other,1,10,4,Female,134,4,5,Laboratory Technician,4,Married,2422,24220,2,Y,Yes,6,1,2,80,2,36,2,3,19,13,2,6
53,No,Travel_Rarely,411,Research & Development,12,4,Human Resources,1,11,3,Female,87,2,1,Research Scientist,4,Divorced,3635,65430,4,Y,Yes,25,2,3,80,1,18,2,1,9,7,7,9
27,No,Travel_Rarely,458,Hardware,19,5,Human Resources,1,12,3,Female,85,3,1,Manufacturing Director,1,Married,19236,365484,7,Y,No,2,3,1,80,2,23,3,1,13,12,11,13
25,No,Travel_Frequently,974,Hardware,31,1,Technical Degree,1,13,2,Female,84,4,1,Healthcare Representative,4,Divorced,22899,45798,1,Y,Yes,21,4,1,80,2,25,6,2,14,4,11,1
39,Yes,Travel_Frequently,907,Hardware,24,5,Other,1,14,3,Male,140,4,5,Manufacturing Director,1,Divorced,16537,115759,0,Y,No,39,4,2,80,1,13,2,3,2,2,2,1
28,No,Travel_Frequently,975,Human Resources,37,3,Life Sciences,1,15,2,Female,96,2,5,Developer,3,Divorced,22720,408960,7,Y,No,43,2,4,80,2,31,6,4,29,6,5,8
59,No,Non-Travel,644,Hardware,7,2,Human Resources,1,16,2,Male,187,4,2,Manager,3,Single,26624,452608,6,Y,Yes,20,2,1,80,1,31,6,2,4,3,3,1
28,Yes,Non-Travel,1078,Sales,35,5,Other,1,17,1,Male,127,2,1,Developer,4,Married,33626,941528,7,Y,No,19,1,2,80,4,31,1,2,17,4,6,7
47,Yes,Non-Travel,901,Human Resources,16,1,Human Resources,1,18,3,Female,91,4,1,Human Resources,1,Divorced,5418,65016,7,Y,No,23,1,3,80,2,34,5,1,16,11,5,9
55,No,Travel_Rarely,290,Human Resources,7,1,Other,1,19,1,Male,54,4,4,Research Scientist,4,Married,3138,78450,7,Y,No,14,1,1,80,3,4,1,3,1,1,1,1
60,Yes,Travel_Rarely,1093,Human Resources,47,4,Medical,1,20,1,Female,146,3,1,Human Resources,3,Single,17108,188188,2,Y,Yes,7,4,4,80,4,34,6,2,4,1,4,2
56,No,Non-Travel,105,Support,38,5,Other,1,21,1,Male,111,2,3,Manufacturing Director,4,Single,43600,959200,0,Y,No,9,1,1,80,3,29,2,1,22,5,20,7
57,Yes,Travel_Rarely,1205,Software,10,4,Life Sciences,1,22,4,Female,189,4,4,Research Scientist,1,Divorced,15082,241312,8,Y,Yes,22,1,4,80,4,14,5,2,5,5,1,4
50,Yes,Non-Travel,1047,Human Resources,7,1,Other,1,23,4,Male,188,2,1,Healthcare Representative,2,Single,39576,910248,1,Y,No,46,2,1,80,4,31,1,1,18,5,8,12
22,No,Travel_Frequently,1335,Support,32,3,Human Resources,1,24,1,Male,52,1,4,Manager,4,Single,11338,260774,6,Y,No,24,3,4,80,4,5,2,4,4,2,2,4
51,Yes,Non-Travel,871,Human Resources,11,4,Marketing,1,25,2,Female,83,4,1,Manager,1,Divorced,50755,355285,2,Y,Yes,13,1,1,80,4,33,2,1,6,4,5,5
32,No,Travel_Rarely,460,Software,13,5,Human Resources,1,26,4,Male,125,2,4,Sales Executive,4,Married,39057,546798,8,Y,Yes,49,2,1,80,3,38,2,1,32,4,19,12
56,No,Travel_Rarely,1190,Software,44,2,Medical,1,27,2,Female,147,4,4,Research Director,4,Single,8801,17602,7,Y,Yes,43,2,2,80,1,24,3,3,10,2,9,9
19,No,Non-Travel,1023,Research & Development,44,1,Medical,1,28,4,Male,157,3,4,Sales Executive,4,Single,25524,536004,2,Y,No,20,1,2,80,3,36,6,4,32,21,7,14
41,No,Travel_Rarely,255,Software,23,3,Medical,1,29,2,Male,87,3,3,Manager,1,Married,19088,190880,1,Y,Yes,1,4,3,80,1,18,4,4,7,4,6,2
28,Yes,Travel_Rarely,1097,Research & Development,48,5,Life Sciences,1,30,4,Male,130,1,4,Human Resources,2,Married,5098,142744,8,Y,No,42,3,4,80,1,12,4,2,7,3,1,2
38,Yes,Non-Travel,381,Sales,29,3,Technical Degree,1,31,2,Male,77,3,5,Manager,1,Single,40753,40753,8,Y,Yes,19,1,4,80,3,38,2,1,18,18,17,1
24,Yes,Travel_Frequently,1046,Hardware,13,4,Technical Degree,1,32,2,Male,51,4,4,Sales Representative,4,Married,14398,359950,2,Y,Yes,16,3,3,80,4,32,1,4,11,6,4,4
57,No,Travel_Frequently,1438,Software,13,2,Medical,1,33,1,Female,150,1,5,Research Scientist,2,Divorced,31006,713138,1,Y,No,36,4,1,80,3,21,1,4,19,13,10,11
59,Yes,Non-Travel,118,Support,48,4,Marketing,1,34,4,Male,172,1,2,Sales Representative,1,Married,24408,536976,3,Y,Yes,43,2,1,80,3,38,5,1,23,19,22,5
43,Yes,Travel_Rarely,1198,Support,9,2,Life Sciences,1,35,1,Female,34,1,4,Research Director,4,Single,2141,59948,2,Y,No,14,1,1,80,2,32,6,2,32,1,31,13
47,Yes,Travel_Frequently,796,Human Resources,36,5,Marketing,1,36,4,Male,119,2,3,Manufacturing Director,2,Single,26687,133435,7,Y,No,48,2,1,80,3,13,1,4,9,6,6,3
60,Yes,Travel_Frequently,1270,Research & Development,38,1,Life Sciences,1,37,4,Male,142,4,3,Research Director,3,Married,2169,19521,0,Y,No,23,3,3,80,2,9,5,2,2,2,1,2
28,Yes,Travel_Rarely,1247,Support,2,2,Technical Degree,1,38,3,Female,66,4,1,Human Resources,3,Single,3357,93996,7,Y,No,7,4,2,80,1,5,3,2,5,5,1,3
28,No,Non-Travel,887,Support,17,1,Life Sciences,1,39,2,Female,118,2,1,Sales Executive,4,Divorced,42534,1190952,7,Y,Yes,32,3,2,80,1,7,3,2,7,5,7,6
18,Yes,Non-Travel,1386,Hardware,16,3,Life Sciences,1,40,3,Female,125,4,1,Manufacturing Director,1,Divorced,23082,692460,1,Y,No,18,3,3,80,2,29,6,2,4,3,4,3
46,Yes,Travel_Rarely,404,Hardware,27,5,Life Sciences,1,41,1,Female,191,4,4,Manufacturing Director,4,Married,8829,264870,3,Y,No,28,4,1,80,4,7,6,2,2,1,2,1
42,No,Travel_Frequently,811,Human Resources,24,4,Human Resources,1,42,3,Female,136,1,4,Sales Executive,3,Divorced,17699,194689,2,Y,No,8,1,2,80,1,30,3,2,3,1,3,1
34,Yes,Non-Travel,266,Hardware,35,4,Marketing,1,43,3,Male,136,3,1,Laboratory Technician,3,Single,2958,65076,7,Y,Yes,32,4,2,80,1,33,5,1,1,1,1,1
31,Yes,Non-Travel,809,Software,1,5,Human Resources,1,44,1,Male,65,3,3,Sales Executive,2,Married,6705,20115,2,Y,No,16,4,1,80,2,9,2,2,8,4,6,1
46,No,Non-Travel,1178,Support,49,3,Other,1,45,2,Female,112,2,4,Manufacturing Director,4,Married,27682,802778,8,Y,No,49,3,4,80,1,25,1,4,14,5,4,8
21,No,Non-Travel,590,Software,30,4,Technical Degree,1,46,3,Female,199,4,4,Human Resources,3,Single,49289,936491,7,Y,No,12,3,4,80,2,25,3,4,12,10,11,7
36,No,Travel_Frequently,380,Research & Development,18,5,Human Resources,1,47,2,Male,174,4,4,Sales Representative,3,Married,36986,406846,5,Y,Yes,42,3,4,80,4,8,5,2,7,4,6,1
34,No,Travel_Frequently,662,Sales,47,5,Other,1,48,1,Female,38,4,3,Research Director,3,Married,16078,32156,4,Y,No,2,1,2,80,3,7,6,3,2,2,1,2
34,Yes,Travel_Frequently,232,Sales,44,3,Other,1,49,1,Male,77,4,3,Healthcare Representative,2,Single,38204,114612,7,Y,No,11,4,4,80,4,40,5,4,36,31,10,34
35,Yes,Travel_Rarely,1400,Human Resources,25,4,Life Sciences,1,50,3,Female,150,4,1,Sales Representative,4,Divorced,35309,918034,5,Y,No,20,3,4,80,2,38,3,2,26,17,11,12
58,No,Travel_Rarely,903,Software,30,3,Technical Degree,1,51,4,Female,170,4,3,Manager,2,Single,44334,1330020,2,Y,No,26,1,3,80,3,23,6,2,3,2,2,3
54,No,Travel_Rarely,605,Human Resources,40,4,Life Sciences,1,52,3,Female,152,2,1,Developer,1,Married,30593,91779,4,Y,Yes,42,3,4,80,4,34,5,1,30,3,28,22
28,No,Travel_Frequently,1097,Support,15,3,Technical Degree,1,53,1,Male,134,3,2,Manufacturing Director,3,Single,37498,374980,4,Y,No,18,1,4,80,2,33,2,4,16,13,11,3
58,Yes,Non-Travel,1235,Software,9,1,Technical Degree,1,54,3,Male,58,4,4,Manager,2,Single,29978,299780,5,Y,Yes,11,4,2,80,4,3,6,4,2,2,1,1
36,Yes,Non-Travel,289,Human Resources,42,4,Technical Degree,1,55,1,Female,51,3,1,Research Director,3,Divorced,16955,169550,8,Y,No,19,3,2,80,1,18,5,2,14,12,10,2
34,Yes,Non-Travel,178,Support,26,3,Marketing,1,56,4,Male,143,4,4,Research Scientist,4,Single,38479,961975,4,Y,No,20,1,1,80,1,8,6,2,2,2,1,1
30,No,Travel_Frequently,515,Software,34,2,Other,1,57,3,Male,106,3,4,Human Resources,2,Single,17640,388080,2,Y,Yes,15,2,4,80,3,23,3,1,22,17,3,7
34,No,Travel_Rarely,763,Hardware,39,3,Life Sciences,1,58,3,Male,147,4,5,Sales Representative,2,Divorced,28778,575560,5,Y,Yes,6,4,1,80,2,17,1,4,4,1,2,1
48,No,Travel_Rarely,478,Software,47,1,Technical Degree,1,59,4,Female,89,4,1,Research Scientist,2,Married,47631,1381299,4,Y,Yes,26,3,4,80,4,9,2,1,2,2,1,1
34,No,Travel_Rarely,972,Research & Development,9,2,Marketing,1,60,3,Female,55,4,5,Sales Representative,3,Divorced,17272,276352,6,Y,Yes,6,3,4,80,4,40,2,2,39,27,9,37
58,Yes,Non-Travel,324,Sales,10,2,Marketing,1,61,1,Male,49,3,5,Laboratory Technician,1,Single,5518,77252,7,Y,No,17,2,2,80,2,6,5,3,3,3,3,2
35,No,Non-Travel,760,Hardware,10,4,Technical Degree,1,62,1,Female,128,4,4,Human Resources,4,Married,5166,144648,0,Y,Yes,42,1,3,80,2,30,6,2,13,10,10,13
25,No,Non-Travel,749,Hardware,32,1,Marketing,1,63,2,Female,90,1,2,Sales Executive,2,Single,1069,6414,2,Y,Yes,23,1,1,80,3,8,4,1,8,6,1,5
54,No,Non-Travel,736,Support,10,1,Marketing,1,64,3,Female,104,3,4,Sales Representative,1,Divorced,26783,455311,4,Y,No,30,1,1,80,4,8,4,1,4,3,1,3
19,Yes,Travel_Rarely,1482,Human Resources,20,4,Other,1,65,3,Female,67,2,4,Laboratory Technician,4,Divorced,15179,151790,6,Y,Yes,0,1,4,80,1,13,1,1,7,6,6,3
47,No,Travel_Rarely,1305,Human Resources,40,2,Life Sciences,1,66,4,Female,116,4,3,Healthcare Representative,1,Single,9799,146985,3,Y,Yes,11,2,2,80,2,27,2,1,15,9,2,12
37,No,Travel_Frequently,319,Sales,14,2,Life Sciences,1,67,3,Male,173,4,1,Human Resources,3,Divorced,47493,1424790,6,Y,No,38,3,3,80,2,27,3,4,22,15,18,9
38,No,Non-Travel,448,Research & Development,37,3,Human Resources,1,68,3,Female,84,3,3,Research Director,2,Single,14568,14568,6,Y,Yes,33,4,2,80,1,21,5,4,6,1,4,2
25,Yes,Travel_Frequently,1245,Sales,1,2,Life Sciences,1,69,2,Female,170,1,5,Research Scientist,2,Married,12674,12674,6,Y,No,2,2,1,80,3,24,1,4,11,9,11,9
19,No,Travel_Rarely,1317,Support,26,2,Medical,1,70,1,Female,51,3,3,Developer,4,Married,32249,483735,2,Y,Yes,5,4,3,80,2,13,5,2,1,1,1,1
40,Yes,Travel_Frequently,1305,Sales,42,5,Life Sciences,1,71,3,Female,55,2,2,Developer,1,Divorced,8738,69904,7,Y,Yes,25,4,2,80,4,15,4,4,7,4,3,4
18,No,Travel_Rarely,530,Sales,19,1,Technical Degree,1,72,4,Male,172,1,5,Human Resources,4,Single,33896,677920,2,Y,Yes,17,4,3,80,1,16,3,1,8,8,4,7
